State,District,Kind_of_Data,Type_of_initative,Dropdown_list,Tabs (Govt./Others),Card Title,Card Description,Helpline_numbers,Link,Eligibilty (if any),Documents Required (if any),Duration,Any other relevant details,Source links for PDFs
Madhya Pradesh,Mandla,District,E-Pass View,,Govt.,For vehicle pass for essential commodities,Email address: smart_mandla@yahoo.com,7898655384,https://cdn.s3waas.gov.in/s32f2b265625d76a6704b08093c652fd79/uploads/2020/03/2020032645.pdf,,,,,https://mandla.nic.in/en/vehicle-permission-related-to-corona-virus/
Madhya Pradesh,Morena,District,Health View,Tele-consultation,Govt.,Telemedicine video call,Hangout call for Telemedicine,,https://hangouts.google.com/call/jNmo3NUbxbRUp8B7W_BrAEEE,,,,,https://morena.nic.in/en/
Madhya Pradesh,Morena,District,Food View,Ration,Govt.,Ration/food grains,for getting ration/grains,1800 2332 797,https://morena.nic.in/en/,,,,,
Madhya Pradesh,Morena,District,Health View,Tele-consultation,Govt.,Telemedicine Unit Morena,Contact number for telemedicine,9109792130,https://morena.nic.in/en/,,,,,
Madhya Pradesh,Morena,District,Food View,Ration,Govt.,List of beneficiaries of Nagar Banmore for ration distribution without eligibility parchi,Includes the village number  FPS name  name of the family head  occupation  ration card status  and number of members in the family,,https://cdn.s3waas.gov.in/s3a9a6653e48976138166de32772b1bf40/uploads/2020/04/2020041390.pdf,,,,,https://morena.nic.in/en/
Madhya Pradesh,Morena,District,Food View,Ration,Govt.,List of beneficiaries of Janpad Morena for ration distribution without eligibility parch,Includes the village number  FPS name  name of the family head  occupation  ration card status  and number of members in the family,,https://cdn.s3waas.gov.in/s3a9a6653e48976138166de32772b1bf40/uploads/2020/04/2020041389.pdf,,,,,https://morena.nic.in/en/
Madhya Pradesh,Morena,District,Food View,Ration,Govt.,List of beneficiaries of Nagar Morena for ration distribution without eligibility parchi,Includes the village number  FPS name  name of the family head  occupation  ration card status  and number of members in the family,,https://cdn.s3waas.gov.in/s3a9a6653e48976138166de32772b1bf40/uploads/2020/04/2020041321.pdf,,,,,https://morena.nic.in/en/
Madhya Pradesh,Morena,District,Health View,Others,Govt.,District Hospital Morena Call centre,call centre number,0753222 3012,https://morena.nic.in/en/,,,,,
Madhya Pradesh,Narsinghpur,District,E-pass View,,Govt.,In case of lock down  applications for permission to exit the house will be received on the given WhatsApp number and email address. Email Address – nsp.lockdown@gmail.com,,9301248016,https://cdn.s3waas.gov.in/s366f041e16a60928b05a7e228a89c3799/uploads/2020/03/2020032181.pdf,,,,,https://narsinghpur.nic.in/en/event/application-for-permission-to-move-out-of-the-house-in-the-event-of-lock-down/
Madhya Pradesh,Narsinghpur,District,Food View,Food Delivery,Govt.,Home Delivery for items,,,https://narsinghpur.nic.in/%e0%a4%b9%e0%a5%8b%e0%a4%ae-%e0%a4%a1%e0%a4%bf%e0%a4%b2%e0%a5%87%e0%a4%b5%e0%a4%b0%e0%a5%80/,,,,,
Madhya Pradesh,Rajgarh,District,Health View,Tele-consultation,Govt.,Telemedicine,,,https://cdn.s3waas.gov.in/s302e74f10e0327ad868d138f2b4fdd6f0/uploads/2020/04/2020040276.pdf,,,,,
Madhya Pradesh,Rajgarh,District,Food View,Food Delivery,Govt.,COVID-19 District Guide  ,Contact numbers for food for needy grocery store numbers for home Delivery and other imporatnt helpline numbers,,https://cdn.s3waas.gov.in/s302e74f10e0327ad868d138f2b4fdd6f0/uploads/2020/04/2020040158.pdf,,,,,
Madhya Pradesh,Rewa,District,Health View,District Helpline,Govt.,Medical Team contacts,,,https://cdn.s3waas.gov.in/s393db85ed909c13838ff95ccfa94cebd9/uploads/2020/03/2020032463.pdf,,,,,
Madhya Pradesh,Rewa,District,Health View,District Helpline,Govt.,Contacts of Hospitals,,,http://www.covid19rewa.in/,,,,,
Madhya Pradesh,Rewa,District,Others,Others,Govt.,Form for filling any help requirement,,,https://rewa.nic.in/en/covid-19/,,,,,
Madhya Pradesh,Sagar,District,Health View,Tele-consultation,Govt.,Tele-medicine,,,https://cdn.s3waas.gov.in/s3fe73f687e5bc5280214e0486b273a5f9/uploads/2020/03/2020033074.pdf,,,,,
Madhya Pradesh,Satna,District,Health View,Medicine Delivery,Govt.,Home Delivery service,,,https://satna.nic.in/en/event/home-Delivery-service-list-of-shopkeepers-during-lockdown/,,,,,
Madhya Pradesh,Satna,District,Food View,Food Delivery,Govt.,Vegetable Home Delivery,,,https://cdn.s3waas.gov.in/s38e6b42f1644ecb1327dc03ab345e618b/uploads/2020/04/2020040931.pdf,,,,,
Madhya Pradesh,Satna,District,Food View,Ration,Govt.,Contacts for PDS allocation for Covid19,,,https://satna.nic.in/en/pds-allocation-for-covid-19/,,,,,
Madhya Pradesh,Satna,District,Health View,Medicine Delivery,Govt.,Medicine home Delivery,,,https://cdn.s3waas.gov.in/s38e6b42f1644ecb1327dc03ab345e618b/uploads/2020/04/2020040981.pdf,,,,,
Madhya Pradesh,Seoni,District,Health View,Speciality Hospitals,Govt.,District Hospital Seoni,,07692-227423,https://seoni.nic.in/en/,,,,,
Madhya Pradesh,Seoni,District,Health View,Tele-consultation,Govt.,District Level Tele Medicine Center,,7692223570,https://seoni.nic.in/en/,,,,,
Madhya Pradesh,Seoni,District,Health View,Tele-consultation,Govt.,District Level Tele Medicine Center,Video Call on WhatsApp ,9301203351,https://seoni.nic.in/en/,,,,,
Madhya Pradesh,Shajapur,District,Health View,Tele-consultation,Govt.,Telemedicine Consultant Centre Contact Details:,,9301255254,https://shajapur.nic.in/en/,,,,,
Madhya Pradesh,Shivpuri,District,Health View,Tele-consultation,Govt.,Telemedicine Consultant Centre Contact Details. Skype id – dhshivpuri@gmail.com Email id- dhshivpuri@gmail.com,,8815841055;07492-233614,https://shivpuri.nic.in/en/,,,,,
Madhya Pradesh,Singrauli,District,Food View,Food Delivery,Govt.,Regarding home Delivery of essential groceries under essential services,,,https://cdn.s3waas.gov.in/s337693cfc748049e45d87b8c7d8b9aacd/uploads/2020/03/2020032658.pdf,,,,,
Uttar Pradesh,ALL,State,E-pass View,,Govt.,Inter district Pass for essential service providers,,,http://164.100.68.164/upepass2/,People/institutions supplying the essential goods and services are listed by the government,PAN/Voter/Adhar Card.  Vehicle Nunber in case vehicle is to be used.,Person should mention the dates during which he/she needs the Epass.,For Individuals; only health care (including animal health care) services are allowed for issuing Epass.  Epass available for Organisations also.,https://rahat.up.nic.in/
Uttar Pradesh,ALL,State,Shelter View,,Govt.,Shelter Camps,Temporary Shelter Camps,,https://rahat.up.nic.in/PdfViewer_Orgization.aspx?pdffile=Covid-19%20Shelter;%20Screening%20Camp%20list.pdf,,,,,https://rahat.up.nic.in/
Uttar Pradesh,ALL,State,Health View,Speciality Hospitals,Treatment Facilities for covid-19 in UP,,,,https://updgmh-covid19.maps.arcgis.com/apps/opsdashboard/index.html#/bfc888151feb48928a4f6885ca20e83c,,,,,http://dgmhup.gov.in/en/default
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,King George Medical University (Lucknow),,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,Institute of Medical Sciences  Banaras Hindu University (Varanasi),,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,Jawaharlal Nehru Medical College; Aligarh,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,Command Hospital; Lucknow,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,Lala Lajpat Rai Memorial Medical College (Meerut),,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,Sanjay Gandhi Post Graduate Institute; Lucknow,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,MLN Medical College; Allahabad,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,Uttar Pradesh University of Medical Sciences (Formerly Uttar Pradesh RIMS); Saifai,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,MLB Medical College; Jhansi,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,Regional Medical Research Centre; Gorakhpur,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,SN Medical College; Agra,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,National JALMA Institute for Leprosy & Other,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,Mycobacterial Diseases; Agra,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,RML Hospital; Lucknow,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,Govt. Institute of Medical Sciences; Noida,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,GSVM Medical College; Kanpur,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,National Institute of Biologicals; Noida (Highthroughput Laboratory),,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,BRD Medical College; Gorakhpur,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,Indian Institute of Toxicology Research; Lucknow,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,Birbal Sahni Institute of Palaeosciences; Lucknow,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Government Laboratory,Central Drug Research Institute; Lucknow,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Private Laboratory,RML Mehrotra Pathology Pvt Ltd; Nirala Nagar;,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Private Laboratory,Lucknow,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Private Laboratory,Dept of Lab Medicine; Jaypee Hospital; Sector 128; Noida,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Private Laboratory,Central Lab; Sharda Hospital; Plot no 32;34; Knowledge Park-III; Greater Noida,,https://www.icmr.gov.in/,,,,,
Uttar Pradesh,ALL,State,Health View,Covid-19 Testing Centers,Govt.,laboratories for covid -19 diagnosis in UP,,,https://updgmh-covid19.maps.arcgis.com/apps/opsdashboard/index.html#/a7e1312f811d4f3f9e984b4a9f09f960,,,,,http://dgmhup.gov.in/en/default
Uttar Pradesh,ALL,State,Health View,Others,Govt.,List of Chief Medical Officers and their contacts of all Districts,,,http://www.dgmhup.gov.in/en/CMOProfile,,,,,http://dgmhup.gov.in/en/default
Uttar Pradesh,Agra,District,Food View,Ration,Govt.,Door step delivery of grocery,,,http://52.172.208.12/agra_new/helpline.jpg,,,,,http://agrasmartcity.in/EssentialItemSupplier.aspx
Uttar Pradesh,Agra,District,Food View,Ration,Govt.,List of Grocery; Vegetables/Fruits Home delivery contacts,,,http://agrasmartcity.in/EssentialItemSupplier.aspx,,,,,http://agrasmartcity.in/EssentialItemSupplier.aspx
Uttar Pradesh,Agra,District,Health View,Others,Govt.,corona Medical Control Room,,,http://52.172.208.12/agra_new/helpline.jpg,,,,,http://52.172.208.12/agra_new/helpline.jpg
Uttar Pradesh,Agra,District,Health View,Covid-19 Testing Centers,Govt.,Testing Centres,List of Hospitals for severe acute respiratory infections (SARI)/ acute respiratory infections (ARI) Patient Sampling,,http://storage.unitedwebnetwork.com/files/349/c3a6c043e7dbf61f40ae0b4e64a50ac1.pdf,,,,,http://www.imaagra.org/covid-2019
Uttar Pradesh,Allahabad,District,Health View,Others,Govt.,,,0532-2266098; 0532-2266099,https://prayagraj.nic.in/covid-19/,,,,,https://prayagraj.nic.in/
Uttar Pradesh,Jyotiba Phule Nagar,District,Food View,Food Delivery,Govt.,Food & Civil Supply Helpline Number,,,https://cdn.s3waas.gov.in/s3f718499c1c8cef6730f9fd03c8125cab/uploads/2020/04/2020041055.pdf,,,,,https://auraiya.nic.in/
Uttar Pradesh,Bahraich,District,Food View,Food Delivery,Govt.,Food helplines for helpless; destitute and needy,,9918034290 ; 9554741649,https://bahraich.nic.in/covid-19/,,,,,https://bahraich.nic.in/
Uttar Pradesh,Bahraich,District,Food View,Food Delivery,Govt.,Volunteer Food for helpless; destitute and needy (Ann Rath)http1.Mr. Sandeep Mittalhttp2.Mr. Amit Mittal,,9415178963;9919122224,https://bahraich.nic.in/covid-19/,,,,,https://bahraich.nic.in/
Uttar Pradesh,Bahraich,District,Food View,Food Delivery,Govt.,List of Grocery; Vegetables/Fruits stores,,,https://cdn.s3waas.gov.in/s3e96ed478dab8595a7dbda4cbcbee168f/uploads/2020/03/2020032748.pdf,,,,,https://bahraich.nic.in/covid-19/
Uttar Pradesh,Barabanki,District,Health View,Medicine Delivery,Govt.,List of Medical Stores,,,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2020/04/2020040271.pdf,,,,,https://barabanki.nic.in/covid-19-pandemic/
Uttar Pradesh,Barabanki,District,Food View,Food Delivery,Govt.,List of home delivery helpline numbers for Grocery; Vegetables/Fruits; Dary etc,,,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2020/04/2020040271.pdf,,,,,https://barabanki.nic.in/covid-19-pandemic/
Uttar Pradesh,Barabanki,District,Food View,Food Delivery,Govt.,List of officers contacts Food; Grocery etc,,,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2020/03/2020032547.pdf,,,,,https://barabanki.nic.in/covid-19-pandemic/
Uttar Pradesh,Barabanki,District,Health View,Others,Govt.,List of officers contacts for Medical needs,,,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2020/03/2020032547.pdf,,,,,https://barabanki.nic.in/covid-19-pandemic/
Uttar Pradesh,Barabanki,District,Health View,Tele-consultation,Govt.,List of Registered Doctors in Barabanki released by IMA. Anyone can take Medical Advice on Phone,,,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2020/04/2020040166.pdf,,,,,https://barabanki.nic.in/covid-19-pandemic/
Uttar Pradesh,Balrampur,District,Health View,Others,Govt.,Contacts for CMO Control room,,,https://cdn.s3waas.gov.in/s39dcb88e0137649590b755372b040afad/uploads/2019/12/2020032681.pdf,,,,,https://balrampur.nic.in/event/balrampur-coronavirus-disease-covid-19-order/
Uttar Pradesh,Balrampur,District,Food View,Food Delivery,Govt.,List of all the home delivery store contacts for Food; Grocery; Vegetables/Fruits etc,,,https://cdn.s3waas.gov.in/s39dcb88e0137649590b755372b040afad/uploads/2020/03/2020032649.pdf,,,,,https://balrampur.nic.in/event/balrampur-coronavirus-disease-covid-19-order/
Uttar Pradesh,Balrampur,District,Health View,Medicine Delivery,Govt.,List of all the home delivery store contacts for Medicine,,,https://cdn.s3waas.gov.in/s39dcb88e0137649590b755372b040afad/uploads/2020/03/2020032649.pdf,,,,,https://balrampur.nic.in/event/balrampur-coronavirus-disease-covid-19-order/
Uttar Pradesh,Balrampur,District,Food View,Food Delivery,Govt.,List of Grocery; Vegetables/Fruits shops for Tulsipur,,,https://cdn.s3waas.gov.in/s39dcb88e0137649590b755372b040afad/uploads/2020/03/20200326100.pdf,,,,,https://balrampur.nic.in/event/balrampur-coronavirus-disease-covid-19-order/
Uttar Pradesh,Balrampur,District,Food View,Food Delivery,Govt.,List of Grocery; Vegetables/Fruits shops for Utraula,,,https://cdn.s3waas.gov.in/s39dcb88e0137649590b755372b040afad/uploads/2020/03/2020032660.pdf,,,,,https://balrampur.nic.in/event/balrampur-coronavirus-disease-covid-19-order/
Uttar Pradesh,Balrampur,District,Food View,Food Delivery,Govt.,List of Grocery; Vegetables/Fruits shops for Pachpedwa,,,https://cdn.s3waas.gov.in/s39dcb88e0137649590b755372b040afad/uploads/2020/03/2020032687.pdf,,,,,https://balrampur.nic.in/event/balrampur-coronavirus-disease-covid-19-order/
Uttar Pradesh,Chandauli,District,Food View,Food Delivery,Govt.,Food Home Delivery Stores,,,https://cdn.s3waas.gov.in/s3555d6702c950ecb729a966504af0a635/uploads/2020/03/2020032652.pdf,,,,,https://chandauli.nic.in/covid-19-update/
Uttar Pradesh,Chandauli,District,Health View,Medicine Delivery,Govt.,Medicine Home Delivery Stores,,,https://cdn.s3waas.gov.in/s3555d6702c950ecb729a966504af0a635/uploads/2020/03/2020032652.pdf,,,,,https://chandauli.nic.in/covid-19-update/
Uttar Pradesh,Chandauli,District,Food View,Food Delivery,Govt.,Parag Milk home delivery Store List,,,https://cdn.s3waas.gov.in/s3555d6702c950ecb729a966504af0a635/uploads/2020/03/2020032639.pdf,,,,,https://chandauli.nic.in/covid-19-update/
Uttar Pradesh,Chandauli,District,Food View,Food Delivery,Govt.,Kira Home Delivery store List,,,https://cdn.s3waas.gov.in/s3555d6702c950ecb729a966504af0a635/uploads/2020/03/2020032624.pdf,,,,,https://chandauli.nic.in/covid-19-update/
Uttar Pradesh,Chandauli,District,Food View,Food Delivery,Govt.,Food Home Delivery Stores,,,https://cdn.s3waas.gov.in/s3555d6702c950ecb729a966504af0a635/uploads/2020/03/2020032619.pdf,,,,,https://chandauli.nic.in/covid-19-update/
Uttar Pradesh,Deoria,District,Food View,Food Delivery,Govt.,Grocery Supply and Home Delivery Vendor Details,,,https://cdn.s3waas.gov.in/s39872ed9fc22fc182d371c3e9ed316094/uploads/2020/03/2020032766.pdf,,,,,https://deoria.nic.in/noval-corona-virus-covid-19/
Uttar Pradesh,Firozabad,District,Health View,District Helpline,Govt.,Health District Helpline contact,,,https://firozabad.nic.in/covid-19-control-room-firozabad/,,,,,https://firozabad.nic.in
Uttar Pradesh,Firozabad,District,Food View,Food Delivery,Govt.,Food And Civil Supply,,,https://firozabad.nic.in/covid-19-control-room-firozabad/,,,,,https://firozabad.nic.in
Uttar Pradesh,Firozabad,District,Others,Others,Govt.,Police; Agriculture,,,https://firozabad.nic.in/covid-19-control-room-firozabad/,,,,,https://firozabad.nic.in
Uttar Pradesh,Gautam Buddha nagar,District,Helpline number,District Helpline,Govt.,District Control Room Number,,18004192211,https://gbnagar.nic.in/novel-corona-virus-covid-19/,,,,,https://gbnagar.nic.in
Uttar Pradesh,Gautam Buddha nagar,District,Food View,Food Delivery,Govt.,List of Grocery; Vegetables/Fruits stores in hotspot areas for home delivery,,,https://cdn.s3waas.gov.in/s30e01938fc48a2cfb5f2217fbfb00722d/uploads/2020/04/2020041065.pdf,,,,,https://gbnagar.nic.in/novel-corona-virus-covid-19/
Uttar Pradesh,Gautam Buddha nagar,District,Health View,Medicine Delivery,Govt.,List of Medical stores in hotspot areas for home delivery,,,https://cdn.s3waas.gov.in/s30e01938fc48a2cfb5f2217fbfb00722d/uploads/2020/04/2020041065.pdf,,,,,https://gbnagar.nic.in/novel-corona-virus-covid-19/
Uttar Pradesh,Gautam Buddha nagar,District,Health View,Medicine Delivery,Govt.,me of Medical Store and Address for Home Delivery,,,https://cdn.s3waas.gov.in/s30e01938fc48a2cfb5f2217fbfb00722d/uploads/2020/04/2020041042.pdf,,,,,https://gbnagar.nic.in/novel-corona-virus-covid-19/
Uttar Pradesh,Gautam Buddha nagar,District,Food View,Food Delivery,Govt.,List of Grocery Items for emergency services in view of corona covid-19,,,https://cdn.s3waas.gov.in/s30e01938fc48a2cfb5f2217fbfb00722d/uploads/2020/04/2020040160.pdf,,,,,https://gbnagar.nic.in/novel-corona-virus-covid-19/
Uttar Pradesh,Gautam Buddha nagar,District,Health View,Medicine Delivery,Govt.,List of medical Stores for emergency services in view of corona covid-19,,,https://cdn.s3waas.gov.in/s30e01938fc48a2cfb5f2217fbfb00722d/uploads/2020/03/2020033011.pdf,,,,,https://gbnagar.nic.in/novel-corona-virus-covid-19/
Uttar Pradesh,Gorakhpur,District,Others,Others,Govt.,List of Volunteers for providing necessary items at door steps,,,https://cdn.s3waas.gov.in/s301386bd6d8e091c2ab4c7c7de644d37b/uploads/2020/03/2020032845.pdf,,,,,https://gorakhpur.nic.in/control-room-for-covid-19/
Uttar Pradesh,Hamirpur,District,Health View,District Helpline,Govt.,corona Medical Control Room,,,https://hamirpur.nic.in/corona-virus-helpline/,,,,,https://hamirpur.nic.in/
Uttar Pradesh,Hamirpur,District,Food View,Food Delivery,Govt.,Contact number for Food delivery,,,https://hamirpur.nic.in/corona-virus-helpline/,,,,,https://hamirpur.nic.in/
Uttar Pradesh,Hamirpur,District,Food View,Food Delivery,Govt.,List of General Stores for Home Delivery,,,https://cdn.s3waas.gov.in/s3115f89503138416a242f40fb7d7f338e/uploads/2020/03/2020032883.pdf,,,,,https://hamirpur.nic.in/
Uttar Pradesh,Jhansi,District,Food View,Food Delivery,Govt.,List of Helpline numbers for Food,,,https://cdn.s3waas.gov.in/s38efb100a295c0c690931222ff4467bb8/uploads/2020/04/2020040364.pdf,,,,,https://jhansi.nic.in/
Uttar Pradesh,Jhansi,District,Health View,Medicine Delivery,Govt.,List of Helpline numbers for Health,,,https://cdn.s3waas.gov.in/s38efb100a295c0c690931222ff4467bb8/uploads/2020/04/2020040364.pdf,,,,,https://jhansi.nic.in/
Uttar Pradesh,Kannauj,District,Food View,Food Delivery,Govt.,List of Food; General Stores,,,https://cdn.s3waas.gov.in/s37eabe3a1649ffa2b3ff8c02ebfd5659f/uploads/2020/03/2020032661.pdf,,,,,https://kannauj.nic.in/covid-19/
Uttar Pradesh,Kanpur nagar,District,Food View,Food Delivery,Govt.,corona Helpline for Food distribution,,,https://cdn.s3waas.gov.in/s31700002963a49da13542e0726b7bb758/uploads/2020/03/2020032956.jpeg,,,,,https://kanpurnagar.nic.in/covid-19-important-information/
Uttar Pradesh,Kanpur nagar,District,Health View,Medicine Delivery,Govt.,corona Helpline for Health,,,https://cdn.s3waas.gov.in/s31700002963a49da13542e0726b7bb758/uploads/2020/03/2020032956.jpeg,,,,,https://kanpurnagar.nic.in/covid-19-important-information/
Uttar Pradesh,Kanpur nagar,District,Food View,Food Delivery,Govt.,List of General Stores for home delivery,,,http://117.220.169.62:8021/modelcity/corona.aspx,,,,,https://kanpurnagar.nic.in/covid-19-important-information/
Uttar Pradesh,Kanpur nagar,District,Health View,Medicine Delivery,Govt.,List of Medicine Shop for home delivery,,,http://117.220.169.62:8021/modelcity/corona.aspx,,,,,https://kanpurnagar.nic.in/covid-19-important-information/
Uttar Pradesh,Kasganj,District,Food View,Food Delivery,Govt.,Helpline numbers for Ration; General Stores; Vegetables/Fruits for door to door delivery,,,https://cdn.s3waas.gov.in/s3a597e50502f5ff68e3e25b9114205d4a/uploads/2020/03/2020032772.pdf,,,,,https://kasganj.nic.in/
Uttar Pradesh,Kaushambi,District,Food View,Food Delivery,Govt.,Kira Store Goods Distribute Contact List for Home Delivery,,,https://cdn.s3waas.gov.in/s369adc1e107f7f7d035d7baf04342e1ca/uploads/2020/03/2020032848.pdf,,,,,https://kaushambi.nic.in/covid-19/
Uttar Pradesh,Kaushambi,District,Food View,Food Delivery,Govt.,Daily Food Distribute Contact List for Home Delivery,,,https://cdn.s3waas.gov.in/s369adc1e107f7f7d035d7baf04342e1ca/uploads/2020/03/2020032857.pdf,,,,,https://kaushambi.nic.in/covid-19/
Uttar Pradesh,Kaushambi,District,Food View,Food Delivery,Govt.,Milk and Animals Chara Contact List,,,https://cdn.s3waas.gov.in/s369adc1e107f7f7d035d7baf04342e1ca/uploads/2020/03/2020032863.pdf,,,,,https://kaushambi.nic.in/covid-19/
Uttar Pradesh,Lucknow,District,Food View,Food Delivery,Govt.,COVID-19-Information Regarding Home Delivery of Essential Food items,,,https://cdn.s3waas.gov.in/s3310dcbbf4cce62f762a2aaa148d556bd/uploads/2020/03/2020032554.pdf,,,,,https://lucknow.nic.in/document/covid-19-notice-regarding-home-delivery-of-essential-commodity/
Uttar Pradesh,Mathura,District,Food View,Food Delivery,Govt.,Helpline numbers Food; Grocery; Vegetables/Fruits,,,https://cdn.s3waas.gov.in/s326e359e83860db1d11b6acca57d8ea88/uploads/2020/04/2020041428.pdf,,,,,https://mathura.nic.in/
Uttar Pradesh,Mathura,District,Health View,Medicine Delivery,Govt.,Helpline numbers for medical services,,,https://cdn.s3waas.gov.in/s326e359e83860db1d11b6acca57d8ea88/uploads/2020/04/2020041428.pdf,,,,,https://mathura.nic.in/
Uttar Pradesh,RaeBareli,District,Food View,Food Delivery,Govt.,Helpline numbers for Ration; General Stores; Vegetables/Fruits,,,https://cdn.s3waas.gov.in/s3e3796ae838835da0b6f6ea37bcf8bcb7/uploads/2020/03/2020032789.pdf,,,,,https://raebareli.nic.in/corona-virus-diseasecovid-19-district-level-helpline/
Uttar Pradesh,RaeBareli,District,Health View,Medicine Delivery,Govt.,Helpline numbers for Medicine,,,https://cdn.s3waas.gov.in/s3e3796ae838835da0b6f6ea37bcf8bcb7/uploads/2020/03/2020032789.pdf,,,,,https://raebareli.nic.in/corona-virus-diseasecovid-19-district-level-helpline/
Uttar Pradesh,RaeBareli,District,Health View,Others,Govt.,Helpline numbers for Ambulances,,,https://cdn.s3waas.gov.in/s3e3796ae838835da0b6f6ea37bcf8bcb7/uploads/2020/03/2020032789.pdf,,,,,https://raebareli.nic.in/corona-virus-diseasecovid-19-district-level-helpline/
Uttar Pradesh,Rampur,District,Health View,Others,Govt.,List of Doctors in District,,,https://rampur.nic.in/list-of-doctors-in-district/,,,,,https://rampur.nic.in/about-covid-19/
Uttar Pradesh,Rampur,District,Food View,Food Delivery,Govt.,List of Vegetables ; Fruits and Grocery and Milk Suppliers in Rampur city,,,https://rampur.nic.in/list/,,,,,https://rampur.nic.in/about-covid-19/
Uttar Pradesh,Rampur,District,Food View,Food Delivery,Govt.,List of  Vegetables; Fruits and Grocery and Milk Suppliers in bilaspur,,,https://cdn.s3waas.gov.in/s3a8f15eda80c50adb0e71943adc8015cf/uploads/2020/03/2020032932.pdf,,,,,https://rampur.nic.in/about-covid-19/
Uttar Pradesh,Rampur,District,Food View,Food Delivery,Govt.,List of Vegetables; Fruits and Grocery and Milk Suppliers in Chamraua,,,https://cdn.s3waas.gov.in/s3a8f15eda80c50adb0e71943adc8015cf/uploads/2020/03/2020032995.pdf,,,,,https://rampur.nic.in/about-covid-19/
Uttar Pradesh,Rampur,District,Food View,Food Delivery,Govt.,List of Vegetables ; Fruits and Grocery and Milk Suppliers in Shahbad,,,https://cdn.s3waas.gov.in/s3a8f15eda80c50adb0e71943adc8015cf/uploads/2020/03/2020032981.pdf,,,,,https://rampur.nic.in/about-covid-19/
