UT,District,Kind_of_Data,Type_of_initative,Dropdown_list,Tabs (Govt./Others),Card Title,Card Description,Helpline_numbers,Link,Eligibilty (if any),Documents Required (if any),Duration,Any other relevant details,Source links for PDFs
Jammu & Kashmir,Srinagar,District,Others,,Govt.,Link for Students and Travellers having travel history of Covid-19 affected countries,Both for self report and reportiing others,,https://www.talaashsrinagar.in/,,,,,
Jammu & Kashmir,Ganderbal,District,Health View,Tele-consultation,Govt.,Covid-19 Mental Health Helpline(Toll Free),,8046110007,https://ganderbal.nic.in/helpline/,,,,,https://ganderbal.nic.in/
Jammu & Kashmir,Kulgam,District,Health View,Others,Govt.,Administrative quarantine Centres in Kulgam,,,https://cdn.s3waas.gov.in/s3dbe272bab69f8e13f14b405e038deb64/uploads/2020/03/2020033145.pdf,,,,,https://kulgam.nic.in/document-category/covid-19-disease/
Jammu & Kashmir,Pulwama,District,Health View,Others,Govt.,Quarantine Centre in District Pulwama,,,https://cdn.s3waas.gov.in/s3c75b6f114c23a4d7ea11331e7c00e73c/uploads/2020/04/2020041555.pdf,,,,,https://pulwama.gov.in/notice/list-of-location-wise-quarantine-persons-in-district-pulwama/
Jammu & Kashmir,Pulwama,District,Shelter View,,Govt.,Migrant Camps,,,https://pulwama.gov.in/migrant-camps-2/,,,,,
Jammu & Kashmir,Shopian,District,Health View,Others,Govt.,Free Pick and Drop Facility for screening at closest designated health institution,For people with covid symptoms,01933-260825; 7006188930,https://cdn.s3waas.gov.in/s3d34ab169b70c9dcd35e62896010cd9ff/uploads/2020/03/2020032520.pdf,,,,,https://shopian.nic.in/document/public-notice-free-pick-and-drop-facility/
Jammu & Kashmir,Doda,District,Others,,Govt.,Reporting about Travel History (For Self/Others),,,https://docs.google.com/forms/d/e/1FAIpQLSdHRjbQsY_Mtb_7Llmguhd1zucqz-KkU5yJ3HyJJRzzND8odw/Viewform,,,,,https://doda.nic.in/home3/covid-19-emergency-services/
Jammu & Kashmir,Doda,District,E-pass View,,Govt.,Application Form for Movement Pass in lockdown,,,https://docs.google.com/forms/d/e/1FAIpQLSdOdwySaa1oDrLzL4s4P9Mz5n4a98ZXlagloH_jsw2pf_hznQ/Viewform,,,,,https://doda.nic.in/home3/covid-19-emergency-services/
Jammu & Kashmir,Jammu,District,Others,,Govt.,Reporting about Travel History of any person in their neighborhood / family / friends /social circle,,,https://cdn.s3waas.gov.in/s3979d472a84804b9f647bc185a877a8b5/uploads/2020/03/2020032558.pdf,,,,,https://jammu.nic.in/covid19/
Jammu & Kashmir,Kathua,District,Others,,Govt.,Reporting about Travel History of any person in their neighborhood / family / friends /social circle,,9419118642; 9419520302,https://docs.google.com/forms/d/e/1FAIpQLSdxHtUmWLzpvTdFRh2YXv4qfqX_CHKloBJjD98itseVOIlcTA/Viewform,,,,,https://kathua.nic.in/covid-19-helpline/ https://kathua.nic.in/district-kathua-covid-19/
Jammu & Kashmir,Kishtwar,District,Others,,Govt.,Volunteer form,,,https://kishtwar.nic.in/covid-19-voluntary-servies-in-kishtwar/,,,,,
Jammu & Kashmir,Ramban,District,Others,,Govt.,Reporting about Travel History of any person in their neighborhood / family / friends /social circle,,,https://cdn.s3waas.gov.in/s3ae0eb3eed39d2bcef4622b2499a05fe6/uploads/2020/03/2020032338-1.pdf,,,,https://ramban.gov.in/office-orders/
Jammu & Kashmir,Rajauri,District,,,Govt.,,,,https://rajouri.nic.in/,,,,,
Jammu & Kashmir,Reasi,District,Others,,Govt.,Reporting about Travel History of Self or any person in their neighborhood / family / friends /social circle,,,https://docs.google.com/forms/d/e/1FAIpQLSfygw2PxpGVN8sQ2niXuISTCq32ZljmIlkuIKDf-GW-_xcu_A/Viewform, https://docs.google.com/forms/d/e/1FAIpQLScxUNkemHlRoTHAn2KtGNfPJa7IBVrrbOKoK4jRD_z-H326hw/Viewform,,,,,https://reasi.nic.in/event/covid-19-reporting/
Jammu & Kashmir,Udhampur,District,,,Govt.,,,,https://udhampur.nic.in/,,,,,
Pondicherry,ALL,UT,Food View,Food Delivery,Govt.,Contact list of retailers,,,https://pdsswo.py.gov.in/helpdesk/assets/img/List_of_Retailers.pdf,,,,,
Pondicherry,ALL,UT,E-pass View,,Govt.,,,,https://epass.py.gov.in/,,,,,
Pondicherry,ALL,UT,Food View,Ration,Govt.,State DBT for Covid-19 relief,2000 rs.,,https://pdsswo.py.gov.in/helpdesk/,Ration card holders,,,,
Pondicherry,ALL,UT,Food View,Ration,Govt.,Prime Minister Gareed Kalyan Ann Yojana,,,https://pmgkay.py.gov.in/,,,,,
Pondicherry,ALL,UT,Health View,Speciality Hospitals,Govt.,Covid-19 ward in Jawaharlal Institute of Postgraduate Medical Education & Research Puducherry,,,https://jipmer.edu.in/novel-corona-virus,,,,,
Pondicherry,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Jawaharlal Institute of Postgraduate Medical Education & Research Puducherry,,https://www.icmr.gov.in/,,,,,
Pondicherry,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Indira Gandhi Medical College Puducherry,,https://www.icmr.gov.in/,,,,,
Pondicherry,Pondicherry,District,,,,,,,https://www.py.gov.in/,,,,,
Pondicherry,Yaman,District,,,,,,,https://yanam.gov.in/covid-19/,,,,,
Pondicherry,Karaikal,District,Health View,Others,Govt.,Self Assessment Form,,,https://docs.google.com/forms/d/e/1FAIpQLSfLR_16x-Wc-4X7aQ8g3S_yejWVQAo0pEYpz2vNV4nVpZs1mg/viewform,,,,,https://karaikal.gov.in/covid-19/
Pondicherry,Karaikal,District,Health View,Tele-consultation,Govt.,National Teleconsulation service,esanjeeviniopd.in,,https://cdn.s3waas.gov.in/s3ec8ce6abb3e952a85b8551ba726a1227/uploads/2020/04/2020042993.pdf,,,,,https://karaikal.gov.in/covid-19/
Pondicherry,Karaikal,District,Health View,Tele-consultation,Govt.,Covid19 – Psychological and De-Addiction Counselling over the phone (on request through telephone number),04368-228801,,https://karaikal.gov.in/covid-19/,,,,,
Pondicherry,Karaikal,District,Health View,Tele-consultation,Govt.,Tele-Consultation for Regular / Non emergency Medical issues,Names contact details timings and specialities of the doctors,,https://cdn.s3waas.gov.in/s3ec8ce6abb3e952a85b8551ba726a1227/uploads/2020/04/2020040726.pdf,,,,,https://karaikal.gov.in/covid-19/
Pondicherry,Karaikal,District,Food View,Food Delivery,Govt.,Door Delivery of vegetables,Contact details,,https://cdn.s3waas.gov.in/s3ec8ce6abb3e952a85b8551ba726a1227/uploads/2020/04/2020040762.pdf,,,,,https://karaikal.gov.in/covid-19/
Pondicherry,Karaikal,District,Food View,Food Delivery,Govt.,Door Delivery of Groceries by the Self Help Group and Supermarkets,Contact details,,https://cdn.s3waas.gov.in/s3ec8ce6abb3e952a85b8551ba726a1227/uploads/2020/04/2020040746.pdf,,,,,https://karaikal.gov.in/covid-19/
Pondicherry,Karaikal,District,Others,,Govt.,Veterinary Services at your door step,Contact details and timings,,https://cdn.s3waas.gov.in/s3ec8ce6abb3e952a85b8551ba726a1227/uploads/2020/04/2020041962.pdf,,,,,https://karaikal.gov.in/covid-19/
Pondicherry,Karaikal,District,Others,,Govt.,Cash Delivery at your door step,Aadhar Enabled Payment System via a postman; postmen contact details in the link,,https://cdn.s3waas.gov.in/s3ec8ce6abb3e952a85b8551ba726a1227/uploads/2020/04/2020040710.pdf,,,,Aadhar number of the account holder; Mobile no. for receiving OTP via SMS and the bank name in which the account is there,https://karaikal.gov.in/covid-19/
Pondicherry,Mahe,District,Food View,Food Delivery,Govt.,Door Delivery,Contact Details,,https://mahe.gov.in/covid-19-mahe-ddr/,,,,,
Pondicherry,Mahe,District,Others,,Govt.,Door Delivery of essentials,Contact Details,,https://mahe.gov.in/covid-19-mahe-ddr/,,,,,
